#topo1 (bicolor,((southerncard,sierrancard),parishii));
#topo2 (bicolor,((southerncard,parishii),sierrancard));
#topo3 (bicolor,(southerncard,(sierrancard,parishii)));
topo1	topo2	topo3
476	0	0
154	232	90
90	374	12
476	0	0
66	394	16
164	144	168
476	0	0
0	472	4
448	28	0
448	28	0
476	0	0
476	0	0
476	0	0
476	0	0
442	34	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
54	156	266
374	0	102
476	0	0
204	0	272
476	0	0
476	0	0
36	216	224
204	0	272
476	0	0
476	0	0
44	200	232
290	162	24
238	238	0
306	170	0
238	238	0
476	0	0
272	0	204
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
134	158	184
476	0	0
476	0	0
30	422	24
126	230	120
476	0	0
476	0	0
476	0	0
340	0	136
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
138	30	308
476	0	0
476	0	0
476	0	0
142	298	36
476	0	0
268	192	16
476	0	0
34	136	306
448	28	0
476	0	0
476	0	0
198	168	110
476	0	0
392	0	84
476	0	0
408	0	68
258	108	110
476	0	0
476	0	0
476	0	0
132	254	90
244	160	72
476	0	0
476	0	0
476	0	0
476	0	0
102	0	374
26	448	2
476	0	0
286	108	82
54	224	198
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
448	28	0
76	208	192
476	0	0
476	0	0
476	0	0
448	28	0
476	0	0
476	0	0
2	444	30
476	0	0
476	0	0
272	204	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
166	286	24
316	120	40
132	116	228
148	8	320
102	374	0
68	408	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
172	24	280
476	0	0
288	0	188
476	0	0
442	0	34
476	0	0
304	112	60
476	0	0
476	0	0
476	0	0
89	280	107
433	15	28
408	0	68
144	286	46
476	0	0
476	0	0
476	0	0
476	0	0
42	258	176
476	0	0
476	0	0
102	0	374
476	0	0
292	112	72
476	0	0
476	0	0
476	0	0
346	26	104
476	0	0
364	112	0
224	252	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
244	72	160
142	120	214
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
364	24	88
476	0	0
448	28	0
164	270	42
476	0	0
198	70	208
476	0	0
476	0	0
476	0	0
476	0	0
129	125	222
408	68	0
8	160	308
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
10	76	390
476	0	0
442	0	34
476	0	0
476	0	0
476	0	0
416	60	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
151	157	168
58	196	222
62	198	216
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
50	34	392
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
374	0	102
476	0	0
476	0	0
448	28	0
476	0	0
476	0	0
476	0	0
476	0	0
106	164	206
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
394	30	52
476	0	0
174	98	204
184	200	92
112	261	103
134	278	64
476	0	0
476	0	0
476	0	0
68	408	0
108	306	62
476	0	0
476	0	0
476	0	0
136	340	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
66	406	4
476	0	0
476	0	0
476	0	0
408	68	0
476	0	0
476	0	0
476	0	0
196	238	42
476	0	0
476	0	0
476	0	0
244	160	72
476	0	0
476	0	0
476	0	0
476	0	0
420	0	56
476	0	0
476	0	0
476	0	0
476	0	0
168	26	282
392	84	0
476	0	0
476	0	0
358	22	96
476	0	0
476	0	0
2	112	362
142	210	124
476	0	0
476	0	0
476	0	0
0	38	438
476	0	0
160	198	118
476	0	0
184	260	32
176	30	270
476	0	0
316	40	120
476	0	0
476	0	0
268	120	88
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
322	130	24
338	44	94
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
170	68	238
442	34	0
476	0	0
310	88	78
476	0	0
476	0	0
476	0	0
476	0	0
170	238	68
476	0	0
128	188	160
476	0	0
476	0	0
476	0	0
476	0	0
290	168	18
102	0	374
476	0	0
136	0	340
476	0	0
476	0	0
336	140	0
408	68	0
280	96	100
210	50	216
442	0	34
476	0	0
252	68	156
476	0	0
476	0	0
87	231	158
476	0	0
476	0	0
238	108	130
64	250	162
24	236	216
476	0	0
120	348	8
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
306	0	170
476	0	0
476	0	0
298	18	160
374	102	0
476	0	0
476	0	0
476	0	0
442	0	34
476	0	0
198	160	118
192	158	126
476	0	0
476	0	0
340	136	0
476	0	0
476	0	0
20	194	262
214	38	224
476	0	0
222	168	86
476	0	0
442	0	34
476	0	0
476	0	0
476	0	0
476	0	0
8	344	124
476	0	0
178	214	84
476	0	0
448	28	0
476	0	0
476	0	0
2	386	88
476	0	0
18	10	448
476	0	0
130	8	338
476	0	0
476	0	0
476	0	0
476	0	0
272	64	140
268	190	18
476	0	0
476	0	0
52	248	176
374	0	102
476	0	0
476	0	0
476	0	0
338	138	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
238	238	0
80	186	210
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
116	324	36
476	0	0
476	0	0
298	94	84
476	0	0
56	256	164
374	0	102
476	0	0
324	100	52
0	446	30
476	0	0
82	30	364
476	0	0
34	0	442
476	0	0
34	442	0
68	0	408
476	0	0
476	0	0
19	437	20
476	0	0
476	0	0
476	0	0
34	170	272
0	62	414
18	0	458
476	0	0
476	0	0
68	356	52
476	0	0
420	56	0
476	0	0
408	68	0
476	0	0
476	0	0
192	84	200
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
442	34	0
186	58	232
476	0	0
204	0	272
68	408	0
476	0	0
476	0	0
50	16	410
476	0	0
476	0	0
268	168	40
476	0	0
476	0	0
298	156	22
266	35	175
476	0	0
187	51	238
476	0	0
288	4	184
60	260	156
476	0	0
140	164	172
135	182	159
476	0	0
476	0	0
235	136	105
76	42	358
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
34	442	0
476	0	0
476	0	0
476	0	0
476	0	0
34	442	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
199	120	157
476	0	0
420	56	0
476	0	0
126	174	176
62	342	72
100	200	176
476	0	0
476	0	0
476	0	0
476	0	0
12	338	126
476	0	0
238	0	238
476	0	0
476	0	0
476	0	0
250	112	114
476	0	0
476	0	0
236	214	26
476	0	0
476	0	0
58	388	30
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
334	62	80
476	0	0
0	452	24
476	0	0
194	30	252
476	0	0
476	0	0
340	0	136
124	40	312
476	0	0
0	48	428
476	0	0
476	0	0
280	196	0
476	0	0
306	170	0
476	0	0
476	0	0
82	102	292
476	0	0
352	102	22
476	0	0
476	0	0
442	0	34
442	34	0
340	0	136
476	0	0
340	0	136
442	34	0
476	0	0
476	0	0
476	0	0
368	60	48
476	0	0
374	0	102
476	0	0
102	374	0
476	0	0
476	0	0
476	0	0
476	0	0
298	84	94
370	28	78
476	0	0
476	0	0
476	0	0
476	0	0
459	17	0
476	0	0
340	68	68
112	306	58
374	102	0
38	256	182
476	0	0
476	0	0
74	300	102
176	190	110
34	442	0
476	0	0
476	0	0
476	0	0
360	56	60
340	0	136
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
184	66	226
476	0	0
226	16	234
28	74	374
476	0	0
476	0	0
420	0	56
476	0	0
420	0	56
476	0	0
32	240	204
260	148	68
272	204	0
476	0	0
476	0	0
476	0	0
476	0	0
448	28	0
102	0	374
476	0	0
212	24	240
476	0	0
408	0	68
416	26	34
266	120	90
79	180	217
200	116	160
476	0	0
476	0	0
418	32	26
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
112	320	44
476	0	0
232	84	160
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
28	0	448
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
96	330	50
476	0	0
476	0	0
374	0	102
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
125	247	104
264	106	106
64	338	74
296	162	18
476	0	0
476	0	0
476	0	0
476	0	0
420	56	0
476	0	0
224	60	192
476	0	0
476	0	0
476	0	0
442	0	34
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
160	304	12
78	62	336
136	0	340
102	34	340
476	0	0
476	0	0
140	292	44
476	0	0
258	22	196
476	0	0
476	0	0
448	0	28
418	26	32
204	272	0
476	0	0
62	156	258
476	0	0
226	234	16
476	0	0
476	0	0
476	0	0
476	0	0
448	28	0
144	160	172
102	44	330
306	170	0
292	124	60
276	143	57
60	124	292
476	0	0
476	0	0
442	34	0
392	84	0
476	0	0
476	0	0
476	0	0
34	420	22
476	0	0
264	32	180
238	28	210
476	0	0
476	0	0
152	152	172
128	164	184
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
80	108	288
408	68	0
448	14	14
220	60	196
64	172	240
182	100	194
476	0	0
476	0	0
476	0	0
408	68	0
476	0	0
170	0	306
476	0	0
340	136	0
256	140	80
476	0	0
264	20	192
476	0	0
476	0	0
476	0	0
448	28	0
476	0	0
476	0	0
476	0	0
280	112	84
476	0	0
476	0	0
170	306	0
476	0	0
476	0	0
476	0	0
256	130	90
110	232	134
476	0	0
476	0	0
476	0	0
476	0	0
408	0	68
78	262	136
374	102	0
476	0	0
476	0	0
476	0	0
68	350	58
54	348	74
4	32	440
476	0	0
476	0	0
266	116	94
476	0	0
408	68	0
408	68	0
476	0	0
476	0	0
178	12	286
476	0	0
476	0	0
134	288	54
476	0	0
476	0	0
68	280	128
476	0	0
156	272	48
476	0	0
30	96	350
120	252	104
476	0	0
476	0	0
186	145	145
234	18	224
476	0	0
442	0	34
476	0	0
374	102	0
476	0	0
476	0	0
476	0	0
238	126	112
476	0	0
244	72	160
88	4	384
476	0	0
476	0	0
36	134	306
340	136	0
476	0	0
476	0	0
476	0	0
476	0	0
340	136	0
418	26	32
442	0	34
476	0	0
260	102	114
476	0	0
374	102	0
476	0	0
476	0	0
312	50	114
476	0	0
476	0	0
476	0	0
448	14	14
34	442	0
476	0	0
476	0	0
357	119	0
476	0	0
100	312	64
476	0	0
128	86	262
476	0	0
448	28	0
476	0	0
476	0	0
476	0	0
476	0	0
108	186	182
232	208	36
266	190	20
476	0	0
176	214	86
212	104	160
148	300	28
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
442	34	0
200	244	32
476	0	0
476	0	0
476	0	0
476	0	0
136	340	0
476	0	0
476	0	0
476	0	0
156	16	304
306	170	0
2	464	10
476	0	0
476	0	0
476	0	0
340	136	0
442	34	0
476	0	0
442	34	0
476	0	0
476	0	0
328	20	128
29	127	320
238	238	0
82	134	260
272	204	0
476	0	0
476	0	0
78	8	390
476	0	0
476	0	0
89	115	272
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
442	0	34
476	0	0
170	266	40
476	0	0
476	0	0
448	28	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
212	163	101
476	0	0
298	160	18
86	36	354
476	0	0
120	44	312
128	336	12
128	12	336
128	12	336
238	196	42
476	0	0
476	0	0
476	0	0
283	141	52
476	0	0
236	82	158
476	0	0
476	0	0
476	0	0
238	54	184
476	0	0
190	160	126
476	0	0
476	0	0
168	56	252
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
0	476	0
476	0	0
256	140	80
476	0	0
476	0	0
476	0	0
374	0	102
476	0	0
476	0	0
476	0	0
476	0	0
52	324	100
476	0	0
194	30	252
54	178	244
476	0	0
122	208	146
291	50	135
420	56	0
476	0	0
476	0	0
392	0	84
476	0	0
476	0	0
476	0	0
264	180	32
476	0	0
90	116	270
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
272	94	110
476	0	0
476	0	0
442	34	0
408	68	0
33	295	148
442	0	34
358	96	22
476	0	0
114	165	197
476	0	0
476	0	0
476	0	0
476	0	0
0	24	452
36	34	406
476	0	0
476	0	0
292	164	20
476	0	0
476	0	0
374	0	102
476	0	0
476	0	0
476	0	0
442	0	34
476	0	0
340	102	34
120	340	16
476	0	0
476	0	0
244	160	72
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
442	0	34
476	0	0
110	113	253
260	202	14
476	0	0
476	0	0
476	0	0
106	126	244
476	0	0
416	28	32
476	0	0
476	0	0
54	348	74
192	80	204
442	0	34
96	262	118
476	0	0
476	0	0
374	0	102
476	0	0
476	0	0
476	0	0
374	102	0
476	0	0
476	0	0
166	22	288
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
102	374	0
476	0	0
476	0	0
476	0	0
0	454	22
222	178	76
476	0	0
476	0	0
150	18	308
130	8	338
168	54	254
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
102	374	0
0	390	86
442	34	0
215	154	107
117	186	173
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
108	368	0
476	0	0
442	34	0
476	0	0
130	224	122
306	0	170
476	0	0
476	0	0
476	0	0
272	0	204
408	0	68
178	12	286
340	58	78
50	262	164
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
374	102	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
146	288	42
268	16	192
476	0	0
364	28	84
76	284	116
120	186	170
442	34	0
340	0	136
476	0	0
476	0	0
476	0	0
476	0	0
186	124	166
62	280	134
476	0	0
306	0	170
476	0	0
340	0	136
476	0	0
102	374	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
306	102	68
476	0	0
208	256	12
442	34	0
476	0	0
476	0	0
476	0	0
476	0	0
352	124	0
476	0	0
476	0	0
476	0	0
178	48	250
476	0	0
476	0	0
476	0	0
476	0	0
374	34	68
128	28	320
58	194	224
214	164	98
172	280	24
476	0	0
236	100	140
68	408	0
476	0	0
476	0	0
476	0	0
476	0	0
425	0	51
238	34	204
476	0	0
476	0	0
476	0	0
476	0	0
442	0	34
442	0	34
122	308	46
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
374	102	0
408	68	0
476	0	0
232	134	110
476	0	0
476	0	0
368	60	48
170	306	0
408	68	0
476	0	0
174	240	62
476	0	0
276	88	112
476	0	0
476	0	0
248	167	61
204	272	0
476	0	0
476	0	0
142	56	278
418	32	26
476	0	0
0	0	476
204	272	0
476	0	0
120	230	126
56	420	0
306	170	0
50	416	10
476	0	0
294	110	72
476	0	0
476	0	0
92	138	246
20	456	0
84	226	166
442	0	34
476	0	0
476	0	0
476	0	0
476	0	0
64	374	38
476	0	0
476	0	0
370	78	28
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
136	340	0
476	0	0
476	0	0
476	0	0
476	0	0
0	476	0
476	0	0
476	0	0
476	0	0
476	0	0
280	196	0
364	0	112
92	76	308
136	0	340
476	0	0
476	0	0
476	0	0
476	0	0
102	0	374
224	84	168
442	0	34
408	68	0
22	194	260
20	404	52
84	376	16
476	0	0
238	238	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
358	96	22
280	100	96
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
374	0	102
476	0	0
476	0	0
442	34	0
476	0	0
272	204	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
364	112	0
114	184	178
408	68	0
476	0	0
342	44	90
476	0	0
448	28	0
476	0	0
476	0	0
408	68	0
476	0	0
476	0	0
476	0	0
274	20	182
476	0	0
476	0	0
268	108	100
476	0	0
476	0	0
374	102	0
476	0	0
448	0	28
136	0	340
476	0	0
476	0	0
476	0	0
197	171	108
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
340	136	0
66	36	374
316	72	88
202	106	168
374	0	102
274	172	30
476	0	0
38	246	192
476	0	0
442	34	0
476	0	0
442	34	0
476	0	0
476	0	0
442	0	34
476	0	0
476	0	0
56	186	234
476	0	0
340	102	34
476	0	0
178	10	288
476	0	0
178	242	56
476	0	0
130	258	88
305	116	55
70	52	354
476	0	0
476	0	0
204	238	34
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
141	223	112
204	216	56
206	46	224
476	0	0
374	0	102
476	0	0
476	0	0
30	356	90
476	0	0
476	0	0
340	136	0
224	192	60
476	0	0
476	0	0
138	262	76
476	0	0
476	0	0
476	0	0
210	50	216
476	0	0
260	59	157
246	54	176
476	0	0
442	34	0
476	0	0
246	112	118
476	0	0
24	398	54
196	0	280
476	0	0
168	182	126
476	0	0
476	0	0
476	0	0
136	340	0
476	0	0
476	0	0
476	0	0
392	0	84
476	0	0
476	0	0
476	0	0
176	286	14
476	0	0
476	0	0
476	0	0
248	184	44
476	0	0
476	0	0
18	288	170
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
80	8	388
476	0	0
76	174	226
100	36	340
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
408	68	0
476	0	0
476	0	0
476	0	0
364	26	86
476	0	0
476	0	0
142	228	106
476	0	0
0	224	252
476	0	0
68	408	0
476	0	0
476	0	0
476	0	0
448	0	28
476	0	0
374	0	102
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
182	224	70
476	0	0
64	240	172
476	0	0
476	0	0
476	0	0
78	54	344
128	0	348
476	0	0
24	206	246
254	156	66
374	102	0
277	125	74
368	54	54
476	0	0
476	0	0
212	146	118
408	0	68
418	32	26
476	0	0
394	52	30
272	0	204
476	0	0
392	0	84
476	0	0
476	0	0
108	58	310
204	272	0
476	0	0
476	0	0
476	0	0
476	0	0
348	72	56
340	0	136
476	0	0
306	0	170
476	0	0
408	68	0
28	402	46
272	0	204
476	0	0
358	22	96
476	0	0
136	286	54
476	0	0
476	0	0
476	0	0
81	312	83
476	0	0
476	0	0
476	0	0
476	0	0
442	0	34
476	0	0
476	0	0
442	34	0
160	268	48
374	102	0
476	0	0
476	0	0
142	158	176
476	0	0
476	0	0
476	0	0
476	0	0
122	180	174
476	0	0
476	0	0
225	132	119
408	17	51
476	0	0
476	0	0
476	0	0
408	0	68
132	196	148
476	0	0
0	452	24
340	0	136
226	120	130
476	0	0
476	0	0
476	0	0
144	60	272
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
238	238	0
408	68	0
270	176	30
476	0	0
340	136	0
476	0	0
476	0	0
260	2	214
476	0	0
50	138	288
476	0	0
476	0	0
340	136	0
70	74	332
476	0	0
476	0	0
100	6	370
476	0	0
16	138	322
442	0	34
476	0	0
476	0	0
224	68	184
442	0	34
244	40	192
476	0	0
46	250	180
476	0	0
476	0	0
340	34	102
476	0	0
442	34	0
476	0	0
374	102	0
38	286	152
110	270	96
288	76	112
174	114	188
476	0	0
476	0	0
476	0	0
91	213	172
476	0	0
476	0	0
170	306	0
374	102	0
238	210	28
360	60	56
476	0	0
60	132	284
28	448	0
476	0	0
476	0	0
476	0	0
210	90	176
360	116	0
280	112	84
476	0	0
315	111	50
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
14	114	348
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
374	102	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
306	0	170
374	68	34
476	0	0
476	0	0
476	0	0
476	0	0
442	34	0
476	0	0
352	96	28
476	0	0
442	34	0
8	184	284
156	98	222
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
198	224	54
170	250	56
176	234	66
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
24	252	200
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
204	0	272
476	0	0
476	0	0
208	268	0
476	0	0
104	206	166
476	0	0
58	52	366
110	86	280
476	0	0
476	0	0
476	0	0
196	32	248
476	0	0
408	68	0
476	0	0
476	0	0
476	0	0
476	0	0
112	144	220
220	208	48
108	96	272
442	0	34
136	340	0
476	0	0
476	0	0
442	17	17
374	102	0
298	62	116
476	0	0
476	0	0
476	0	0
442	0	34
394	52	30
476	0	0
256	220	0
476	0	0
476	0	0
476	0	0
476	0	0
300	147	29
476	0	0
476	0	0
476	0	0
68	68	340
160	298	18
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
330	96	50
476	0	0
260	48	168
476	0	0
136	116	224
476	0	0
476	0	0
476	0	0
320	100	56
476	0	0
324	56	96
388	64	24
476	0	0
476	0	0
442	34	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
128	120	228
83	167	226
476	0	0
476	0	0
476	0	0
186	132	158
476	0	0
408	68	0
476	0	0
476	0	0
476	0	0
476	0	0
7	418	51
476	0	0
220	76	180
476	0	0
476	0	0
476	0	0
476	0	0
364	82	30
476	0	0
476	0	0
476	0	0
32	68	376
68	0	408
298	22	156
476	0	0
34	0	442
408	68	0
364	0	112
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
358	96	22
114	292	70
476	0	0
0	128	348
408	68	0
476	0	0
408	68	0
180	66	230
476	0	0
476	0	0
154	224	98
32	442	2
476	0	0
336	0	140
308	0	168
14	420	42
170	0	306
306	170	0
290	44	142
336	0	140
476	0	0
448	28	0
476	0	0
286	190	0
476	0	0
408	68	0
476	0	0
476	0	0
34	0	442
476	0	0
204	272	0
476	0	0
476	0	0
476	0	0
476	0	0
408	0	68
476	0	0
476	0	0
476	0	0
100	368	8
340	136	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
442	34	0
476	0	0
476	0	0
476	0	0
306	170	0
476	0	0
208	234	34
112	330	34
476	0	0
102	0	374
216	208	52
476	0	0
476	0	0
42	360	74
60	98	318
476	0	0
181	58	237
408	68	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
34	202	240
476	0	0
476	0	0
346	26	104
476	0	0
476	0	0
340	0	136
476	0	0
192	176	108
348	56	72
442	0	34
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
276	82	118
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
322	24	130
476	0	0
150	134	192
476	0	0
476	0	0
238	204	34
476	0	0
88	184	204
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
78	174	224
476	0	0
476	0	0
290	150	36
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
252	0	224
476	0	0
224	84	168
307	94	75
476	0	0
476	0	0
476	0	0
90	254	132
476	0	0
476	0	0
264	0	212
224	149	103
476	0	0
476	0	0
476	0	0
476	0	0
184	137	155
476	0	0
177	166	133
476	0	0
476	0	0
408	0	68
224	56	196
118	186	172
18	332	126
0	410	66
476	0	0
476	0	0
408	0	68
476	0	0
476	0	0
476	0	0
238	238	0
356	64	56
476	0	0
442	34	0
476	0	0
476	0	0
476	0	0
476	0	0
204	90	182
476	0	0
170	0	306
0	476	0
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
168	40	268
256	150	70
476	0	0
298	18	160
476	0	0
476	0	0
136	68	272
476	0	0
476	0	0
476	0	0
160	252	64
476	0	0
86	370	20
390	34	52
476	0	0
476	0	0
476	0	0
50	230	196
476	0	0
476	0	0
68	60	348
102	290	84
476	0	0
476	0	0
196	280	0
448	0	28
442	0	34
476	0	0
374	85	17
476	0	0
272	0	204
476	0	0
476	0	0
476	0	0
476	0	0
476	0	0
