#topo1 (bicolor,((card,sierranlew),northernlew));
#topo2 (bicolor,((card,northernlew),sierranlew));
#topo3 (bicolor,(card,(sierranlew,northernlew)));
topo1	topo2	topo3
992	60	868
120	776	1024
288	832	800
480	0	1440
1743	42	135
256	672	992
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
480	0	1440
480	1440	0
1440	0	480
1350	540	30
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
1740	0	180
1920	0	0
0	0	1920
0	0	1920
0	0	1920
1260	0	660
0	1920	0
16	20	1884
1632	0	288
0	0	1920
0	0	1920
1920	0	0
0	0	1920
1248	288	384
0	0	1920
1560	0	360
0	896	1024
0	0	1920
0	1920	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	1920	0
0	0	1920
512	0	1408
1860	0	60
0	1408	512
0	0	1920
160	960	800
0	0	1920
0	0	1920
1061	763	96
0	0	1920
0	0	1920
0	1920	0
0	0	1920
0	0	1920
0	960	960
0	1920	0
42	9	1869
1920	0	0
0	1664	256
0	0	1920
0	0	1920
96	1824	0
1152	0	768
1056	0	864
1152	768	0
0	1024	896
1920	0	0
974	585	361
0	0	1920
0	0	1920
0	0	1920
400	600	920
1920	0	0
507	333	1080
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
664	848	408
0	0	1920
0	1920	0
0	0	1920
96	1413	411
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	1620	300
0	0	1920
0	0	1920
0	1920	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	1408	512
0	576	1344
90	120	1710
0	0	1920
0	1408	512
0	0	1920
0	0	1920
1920	0	0
0	0	1920
0	960	960
0	0	1920
0	0	1920
0	1920	0
0	0	1920
0	0	1920
0	1920	0
0	0	1920
0	0	1920
0	0	1920
1920	0	0
0	0	1920
1920	0	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
1260	660	0
1920	0	0
270	345	1305
1260	660	0
0	0	1920
1140	0	780
30	930	960
1920	0	0
0	0	1920
0	0	1920
672	1248	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
1920	0	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
2	114	1804
0	1920	0
384	672	864
1020	120	780
0	0	1920
0	0	1920
1920	0	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
1500	420	0
1920	0	0
0	0	1920
128	1344	448
0	0	1920
0	0	1920
1920	0	0
1920	0	0
0	0	1920
0	0	1920
1560	360	0
0	0	1920
1408	0	512
528	192	1200
760	900	260
416	1504	0
128	1728	64
1920	0	0
992	928	0
0	0	1920
0	0	1920
293	395	1232
0	0	1920
0	1860	60
523	491	906
1050	30	840
345	75	1500
0	0	1920
1920	0	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
82	1308	530
0	0	1920
495	30	1395
0	0	1920
689	545	686
172	768	980
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
256	0	1664
0	0	1920
0	1920	0
1920	0	0
0	0	1920
0	0	1920
1920	0	0
0	0	1920
1920	0	0
1920	0	0
1860	0	60
0	1920	0
0	0	1920
1440	0	480
0	1920	0
784	0	1136
0	1920	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
112	308	1500
512	896	512
495	810	615
0	0	1920
225	1275	420
0	0	1920
360	1200	360
210	750	960
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	1920	0
0	1728	192
1920	0	0
0	0	1920
0	0	1920
0	1920	0
0	1920	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	1920	0
0	0	1920
960	0	960
0	0	1920
660	1260	0
0	0	1920
0	0	1920
1920	0	0
0	0	1920
1920	0	0
1920	0	0
1920	0	0
0	1440	480
0	0	1920
0	0	1920
128	0	1792
0	0	1920
0	1920	0
1408	512	0
0	420	1500
1440	0	480
300	60	1560
216	324	1380
0	0	1920
0	1920	0
16	1552	352
0	0	1920
0	0	1920
896	0	1024
1536	0	384
0	0	1920
0	0	1920
1920	0	0
0	1920	0
0	0	1920
660	1260	0
1440	0	480
1500	420	0
1920	0	0
1920	0	0
1920	0	0
0	0	1920
0	0	1920
1920	0	0
0	0	1920
0	0	1920
1920	0	0
0	0	1920
1920	0	0
0	0	1920
0	0	1920
0	0	1920
896	1024	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	1920	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	1920	0
0	480	1440
0	0	1920
0	0	1920
1830	90	0
0	1920	0
0	0	1920
1320	0	600
0	1920	0
0	1920	0
0	1920	0
0	0	1920
1024	0	896
765	0	1155
0	0	1920
0	1920	0
0	0	1920
1920	0	0
1152	0	768
20	132	1768
480	1440	0
0	480	1440
0	0	1920
60	1860	0
1920	0	0
0	1920	0
1920	0	0
1920	0	0
224	1504	192
0	0	1920
0	0	1920
0	0	1920
1920	0	0
1664	0	256
0	0	1920
72	120	1728
0	0	1920
0	1536	384
0	0	1920
0	0	1920
0	0	1920
1920	0	0
0	0	1920
567	515	838
0	1920	0
0	0	1920
60	0	1860
0	0	1920
0	0	1920
1920	0	0
0	0	1920
0	0	1920
1020	504	396
0	0	1920
1740	0	180
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
1920	0	0
380	496	1044
1920	0	0
0	0	1920
1920	0	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	1920	0
0	0	1920
0	0	1920
0	324	1596
0	0	1920
0	1920	0
0	0	1920
0	0	1920
0	1920	0
0	0	1920
0	1920	0
0	450	1470
0	0	1920
0	0	1920
0	0	1920
60	0	1860
0	0	1920
0	0	1920
0	1920	0
0	0	1920
0	0	1920
0	0	1920
0	128	1792
0	0	1920
0	0	1920
0	0	1920
0	0	1920
1440	0	480
0	780	1140
0	0	1920
1560	0	360
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	1920	0
0	0	1920
0	0	1920
0	0	1920
192	480	1248
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	1920	0
0	480	1440
0	0	1920
0	1920	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
1408	512	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
564	573	783
0	0	1920
0	0	1920
0	0	1920
1920	0	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	1920	0
0	0	1920
1920	0	0
0	0	1920
1492	172	256
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	1920	0
1920	0	0
0	0	1920
0	1920	0
0	0	1920
0	0	1920
0	1920	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
480	0	1440
1920	0	0
0	1920	0
0	1740	180
0	1920	0
0	1920	0
0	1920	0
0	0	1920
677	582	661
235	1173	512
0	1920	0
1920	0	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
180	1740	0
0	1920	0
232	1664	24
0	0	1920
0	960	960
0	0	1920
728	1128	64
1920	0	0
0	0	1920
0	0	1920
1920	0	0
1920	0	0
0	0	1920
1920	0	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
1800	0	120
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	1920	0
0	0	1920
0	1920	0
0	0	1920
0	0	1920
1920	0	0
0	0	1920
0	0	1920
80	24	1816
0	0	1920
0	0	1920
0	1920	0
0	1440	480
1920	0	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
900	0	1020
1200	0	720
420	1500	0
0	0	1920
0	0	1920
0	0	1920
60	0	1860
0	0	1920
0	1440	480
0	0	1920
1440	0	480
0	0	1920
1920	0	0
1920	0	0
1680	0	240
1920	0	0
1920	0	0
1920	0	0
0	0	1920
0	1920	0
0	0	1920
480	0	1440
0	0	1920
0	896	1024
0	1920	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
1920	0	0
0	0	1920
0	1920	0
1920	0	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
1920	0	0
1920	0	0
1152	0	768
1024	0	896
0	1920	0
1920	0	0
48	660	1212
1152	0	768
0	0	1920
1920	0	0
1920	0	0
0	1920	0
1920	0	0
756	0	1164
0	1920	0
1536	0	384
1920	0	0
1536	0	384
1536	0	384
1664	0	256
676	988	256
1664	128	128
1666	138	116
1920	0	0
120	0	1800
1920	0	0
1920	0	0
0	0	1920
0	1664	256
0	0	1920
0	0	1920
0	0	1920
0	256	1664
0	840	1080
320	0	1600
0	0	1920
960	0	960
480	0	1440
0	0	1920
1275	60	585
0	0	1920
1920	0	0
1664	0	256
0	1920	0
0	1920	0
0	0	1920
0	1920	0
252	576	1092
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
1920	0	0
473	708	739
556	1182	182
769	423	728
0	1920	0
0	1440	480
0	480	1440
1408	512	0
0	0	1920
1508	232	180
0	0	1920
780	1140	0
0	960	960
0	1920	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	1920	0
0	1920	0
0	0	1920
0	1920	0
0	0	1920
1920	0	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
1440	0	480
255	752	913
0	480	1440
0	0	1920
1440	0	480
512	1024	384
12	1032	876
0	0	1920
0	0	1920
0	0	1920
0	45	1875
0	0	1920
80	264	1576
32	1792	96
1440	0	480
576	0	1344
0	0	1920
1317	576	27
313	264	1343
960	960	0
5	215	1700
1792	0	128
540	0	1380
384	1536	0
480	0	1440
0	60	1860
124	440	1356
1012	812	96
1088	832	0
480	1440	0
0	0	1920
896	0	1024
0	0	1920
644	192	1084
1012	432	476
474	582	864
0	0	1920
564	734	622
877	209	834
720	834	366
0	1920	0
1710	210	0
1664	256	0
1920	0	0
1626	186	108
0	128	1792
840	1024	56
1116	36	768
1427	197	296
1197	587	136
672	60	1188
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	1920	0
0	0	1920
192	1440	288
0	1920	0
1200	0	720
0	0	1920
0	0	1920
0	0	1920
288	1632	0
0	0	1920
0	0	1920
1920	0	0
0	0	1920
0	0	1920
1440	0	480
0	0	1920
0	0	1920
0	0	1920
960	960	0
0	1400	520
0	1440	480
0	1920	0
450	411	1059
0	0	1920
0	0	1920
0	0	1920
0	256	1664
0	0	1920
0	0	1920
699	144	1077
0	0	1920
165	0	1755
0	1920	0
0	0	1920
840	1020	60
0	0	1920
0	1024	896
1920	0	0
0	0	1920
0	0	1920
0	480	1440
1920	0	0
1440	0	480
1920	0	0
660	300	960
0	0	1920
0	0	1920
0	0	1920
0	0	1920
1920	0	0
0	0	1920
0	0	1920
0	0	1920
0	1920	0
0	0	1920
0	0	1920
0	1920	0
1920	0	0
1170	636	114
640	0	1280
0	0	1920
288	1440	192
0	0	1920
180	1740	0
0	0	1920
0	0	1920
0	1920	0
0	1920	0
0	0	1920
1920	0	0
0	0	1920
1920	0	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
480	1440	0
0	0	1920
0	0	1920
1860	60	0
960	0	960
992	32	896
1920	0	0
48	1548	324
0	0	1920
180	0	1740
360	0	1560
0	0	1920
1920	0	0
0	0	1920
1920	0	0
1440	480	0
1442	299	179
0	0	1920
0	1920	0
0	1920	0
0	0	1920
0	480	1440
270	105	1545
768	768	384
840	908	172
0	1920	0
0	1792	128
1440	0	480
0	0	1920
0	0	1920
0	0	1920
0	1920	0
1920	0	0
0	0	1920
552	636	732
0	0	1920
0	1536	384
228	912	780
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	1920	0
1920	0	0
0	0	1920
995	372	553
0	0	1920
135	1155	630
0	0	1920
0	0	1920
0	0	1920
1440	0	480
1920	0	0
0	0	1920
240	960	720
0	0	1920
675	270	975
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
1860	60	0
0	0	1920
0	1920	0
891	648	381
88	1568	264
0	0	1920
1405	51	464
0	1920	0
1728	192	0
0	0	1920
1024	0	896
4	1916	0
0	0	1920
0	0	1920
0	1664	256
0	0	1920
1920	0	0
0	0	1920
0	0	1920
0	0	1920
0	1860	60
0	0	1920
0	0	1920
0	0	1920
0	1920	0
0	0	1920
0	0	1920
0	0	1920
0	1020	900
480	0	1440
0	0	1920
0	1920	0
0	0	1920
0	1920	0
0	1920	0
1156	492	272
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	840	1080
960	960	0
768	764	388
0	0	1920
1860	0	60
0	0	1920
0	1440	480
1920	0	0
538	715	667
1494	309	117
0	0	1920
0	0	1920
0	1920	0
1920	0	0
1920	0	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
540	135	1245
1440	0	480
0	0	1920
0	0	1920
0	0	1920
0	0	1920
1630	148	142
0	0	1920
0	0	1920
0	0	1920
0	0	1920
1920	0	0
0	0	1920
0	0	1920
0	1920	0
0	0	1920
1920	0	0
0	0	1920
120	0	1800
0	1920	0
928	288	704
0	0	1920
1920	0	0
1920	0	0
0	0	1920
0	0	1920
0	0	1920
300	1620	0
0	0	1920
0	0	1920
0	0	1920
1920	0	0
0	0	1920
192	1536	192
0	1440	480
0	1680	240
0	0	1920
0	0	1920
1391	293	236
1680	112	128
120	224	1576
609	508	803
388	20	1512
1736	0	184
1920	0	0
1920	0	0
128	0	1792
128	0	1792
128	0	1792
0	60	1860
1920	0	0
128	0	1792
1920	0	0
0	0	1920
128	0	1792
1920	0	0
116	4	1800
1920	0	0
1920	0	0
1920	0	0
1920	0	0
384	352	1184
0	0	1920
0	0	1920
1920	0	0
0	0	1920
336	560	1024
0	0	1920
0	0	1920
0	0	1920
0	0	1920
1920	0	0
0	0	1920
1440	330	150
1920	0	0
1920	0	0
400	1504	16
1920	0	0
1920	0	0
0	1920	0
480	600	840
1920	0	0
120	1350	450
1920	0	0
253	54	1613
0	1800	120
1920	0	0
0	0	1920
0	300	1620
0	1440	480
128	1664	128
1620	75	225
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	1920	0
1680	240	0
1920	0	0
120	1528	272
1920	0	0
0	1920	0
512	1408	0
0	0	1920
1440	0	480
0	0	1920
0	0	1920
128	1312	480
960	0	960
0	60	1860
0	0	1920
1920	0	0
128	1792	0
0	0	1920
704	1152	64
0	0	1920
0	1920	0
1440	0	480
660	0	1260
0	0	1920
480	1440	0
0	1920	0
1440	352	128
0	0	1920
945	810	165
0	0	1920
0	1260	660
0	0	1920
0	630	1290
0	0	1920
0	480	1440
0	0	1920
0	0	1920
960	960	0
1920	0	0
1344	32	544
0	0	1920
0	0	1920
248	1672	0
1920	0	0
0	0	1920
75	630	1215
1920	0	0
1792	0	128
1620	0	300
560	500	860
0	1440	480
0	0	1920
0	0	1920
886	470	564
1650	78	192
784	1136	0
1920	0	0
768	0	1152
0	1920	0
1437	113	370
0	0	1920
0	0	1920
1760	64	96
32	1888	0
0	0	1920
384	1280	256
0	512	1408
1920	0	0
1920	0	0
0	0	1920
0	1920	0
24	608	1288
1680	32	208
0	60	1860
78	576	1266
42	1843	35
734	470	716
1920	0	0
0	1920	0
480	0	1440
1920	0	0
0	1920	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
105	405	1410
0	0	1920
0	0	1920
192	1152	576
0	0	1920
495	1419	6
480	1440	0
0	1920	0
0	0	1920
0	1920	0
0	0	1920
0	0	1920
0	1920	0
1760	64	96
0	512	1408
0	0	1920
0	1920	0
1536	0	384
0	480	1440
0	0	1920
480	0	1440
540	1380	0
0	0	1920
1440	0	480
0	0	1920
0	0	1920
0	1440	480
32	101	1787
324	1184	412
1920	0	0
1920	0	0
1082	610	228
28	1020	872
1920	0	0
1920	0	0
1792	0	128
1920	0	0
1674	74	172
1624	296	0
1860	0	60
0	1920	0
1152	192	576
228	156	1536
1920	0	0
0	0	1920
1920	0	0
1920	0	0
1216	704	0
369	344	1207
1920	0	0
224	1696	0
0	0	1920
192	864	864
396	1236	288
1860	0	60
896	1024	0
744	60	1116
0	1920	0
0	0	1920
1920	0	0
0	0	1920
1920	0	0
0	0	1920
0	0	1920
1920	0	0
0	0	1920
0	128	1792
120	1350	450
0	780	1140
930	0	990
1920	0	0
1170	270	480
1353	183	384
0	0	1920
0	0	1920
0	1920	0
0	0	1920
0	0	1920
1440	0	480
1440	0	480
768	0	1152
768	0	1152
0	0	1920
0	480	1440
1173	327	420
200	640	1080
120	0	1800
360	0	1560
0	0	1920
0	0	1920
840	120	960
0	0	1920
0	480	1440
140	0	1780
1140	0	780
1920	0	0
0	0	1920
489	651	780
1920	0	0
1920	0	0
840	0	1080
1920	0	0
0	0	1920
1920	0	0
0	0	1920
1920	0	0
768	576	576
0	0	1920
0	0	1920
0	1920	0
0	1920	0
1920	0	0
1440	480	0
0	0	1920
0	0	1920
0	0	1920
0	105	1815
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	1920	0
0	0	1920
0	0	1920
0	1680	240
342	250	1328
0	315	1605
0	0	1920
0	0	1920
480	576	864
1920	0	0
1920	0	0
0	1920	0
930	0	990
0	0	1920
0	1920	0
0	0	1920
0	0	1920
1440	0	480
0	240	1680
1920	0	0
1920	0	0
1920	0	0
0	0	1920
0	0	1920
1920	0	0
0	1920	0
1440	0	480
1920	0	0
0	1920	0
1920	0	0
1920	0	0
598	276	1046
120	1596	204
48	783	1089
0	0	1920
0	0	1920
0	0	1920
1920	0	0
0	0	1920
660	1260	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
1920	0	0
1920	0	0
0	1800	120
1248	448	224
260	1660	0
0	0	1920
525	0	1395
0	0	1920
1920	0	0
1324	132	464
1920	0	0
0	0	1920
1920	0	0
160	960	800
128	0	1792
0	0	1920
259	569	1092
0	0	1920
0	1920	0
0	600	1320
0	0	1920
0	1920	0
0	480	1440
1920	0	0
0	0	1920
0	0	1920
1792	0	128
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	1920	0
0	0	1920
0	1920	0
768	1152	0
0	1920	0
161	1024	735
448	0	1472
0	840	1080
1160	464	296
1740	0	180
0	1440	480
162	87	1671
1920	0	0
128	0	1792
0	256	1664
60	0	1860
480	90	1350
0	0	1920
0	1920	0
60	1860	0
1920	0	0
0	1920	0
0	0	1920
0	0	1920
1920	0	0
0	0	1920
1920	0	0
0	640	1280
0	0	1920
1920	0	0
96	0	1824
1440	11	469
0	1920	0
1920	0	0
0	60	1860
0	0	1920
825	15	1080
1920	0	0
1920	0	0
0	1920	0
788	956	176
256	0	1664
1920	0	0
0	1920	0
1305	29	586
0	896	1024
270	135	1515
480	720	720
60	1860	0
0	0	1920
624	64	1232
1024	0	896
0	0	1920
0	0	1920
60	0	1860
0	0	1920
1440	0	480
480	1330	110
0	1920	0
0	1440	480
0	0	1920
0	0	1920
0	0	1920
25	11	1884
1920	0	0
540	455	925
384	1280	256
0	0	1920
0	165	1755
1408	256	256
88	1188	644
36	52	1832
0	0	1920
1920	0	0
0	0	1920
128	0	1792
0	0	1920
0	0	1920
0	1920	0
0	1920	0
0	0	1920
0	0	1920
0	40	1880
1920	0	0
1440	0	480
512	0	1408
0	0	1920
1920	0	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	1920	0
0	0	1920
0	0	1920
0	0	1920
1184	224	512
0	0	1920
340	20	1560
1920	0	0
0	0	1920
0	0	1920
0	1920	0
0	1920	0
1305	135	480
0	0	1920
576	320	1024
0	0	1920
540	0	1380
1860	0	60
60	0	1860
340	300	1280
60	0	1860
60	1680	180
0	0	1920
0	1440	480
0	0	1920
0	0	1920
0	0	1920
0	60	1860
0	0	1920
0	1920	0
1440	480	0
0	0	1920
0	1920	0
0	1920	0
1656	24	240
640	960	320
8	0	1912
0	0	1920
0	0	1920
0	0	1920
1920	0	0
0	0	1920
0	0	1920
300	0	1620
1376	372	172
0	0	1920
0	0	1920
0	0	1920
0	0	1920
192	0	1728
1920	0	0
0	1920	0
0	0	1920
552	756	612
1800	120	0
1920	0	0
180	1740	0
1560	0	360
0	0	1920
1920	0	0
0	0	1920
0	0	1920
1920	0	0
0	0	1920
0	0	1920
0	1152	768
1440	0	480
1920	0	0
0	0	1920
0	0	1920
240	0	1680
0	1920	0
0	0	1920
0	1808	112
0	0	1920
0	0	1920
1536	0	384
0	0	1920
0	0	1920
1920	0	0
1920	0	0
0	0	1920
1920	0	0
60	660	1200
1920	0	0
0	0	1920
0	1920	0
0	1920	0
48	1872	0
1536	384	0
0	0	1920
48	38	1834
0	0	1920
45	135	1740
0	480	1440
0	0	1920
0	240	1680
0	0	1920
0	960	960
1440	0	480
0	0	1920
180	600	1140
0	0	1920
960	704	256
600	140	1180
570	810	540
0	0	1920
1920	0	0
0	1920	0
0	0	1920
1888	0	32
0	0	1920
0	0	1920
150	1059	711
0	960	960
0	0	1920
0	480	1440
1395	0	525
256	1248	416
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
620	1000	300
0	1920	0
1016	900	4
0	0	1920
0	240	1680
0	0	1920
0	1536	384
192	768	960
1920	0	0
0	0	1920
0	1920	0
0	0	1920
0	0	1920
0	740	1180
1920	0	0
0	0	1920
0	0	1920
1920	0	0
383	465	1072
620	1280	20
0	1920	0
1792	0	128
0	0	1920
1792	0	128
1440	60	420
1920	0	0
1188	220	512
0	0	1920
0	0	1920
0	0	1920
0	1920	0
45	0	1875
0	1920	0
1580	228	112
465	210	1245
0	0	1920
0	0	1920
